,player.id,team.id,Season,GP,GS,R,2B,3B,HR,SO,BB,IBB,H,HBP,AB,Pitches,IP,W,L,SV,SVo,HLD,BS,ER,BF,Outs,G,CG,SHO,Strikes,BK,WP,PK,GF,IR,IR-A,CI,SH,SF,stat.inningsPitched_1,stat.inningsPitched_2,BQR,BQR-S,SB,CS,QS,GIDP,GIDPo,Swings,Whiffs,BIP,RS,FO,PO,LO,GO,FH,PH,LH,GH,Team,count,ERA,WHIP,AVG,P/IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB,PU,LD,FB,BABIP,LOB%,FIP,xFIP,SIERA,ERA+,FIP+,xFIP+,SIERA+,GB/FB,LD%,GB%,FB%,PU%,HR/FB,Balls,Contacts,Strike%,Ball%,Whiff%,SwStr%,CStr%
126,573064,695,2023,1,0,1,1,0,0,0,0,0,2,0,5,17,1.0,0,0,0,0,0,0,1,5,3,1,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,5,2,2,0,0,1,1,0,1,0,CAR,,9.00,2.00,.400,17.00,0.00,0.00,nan,0.00,0.0,0.0,0.0,1,0,1,3,.400,50.0,3.69,5.32,7.95,56,136,94,62,0.33,20.0,20.0,60.0,0.0,0.00,4,8,76.5,23.5,11.1,5.9,23.5
76,591672,697,2023,12,12,17,6,1,3,51,20,0,53,2,229,977,59.2,7,0,0,0,0,0,15,251,179,12,0,0,578,0,3,0,0,0,0,0,0,0,59,2,9,1,5,2,4,2,36,412,97,178,71,63,10,5,47,9,0,22,22,MAR,,2.26,1.22,.230,16.37,7.69,3.02,2.55,0.45,20.3,8.0,12.3,69,10,27,72,.290,81.9,3.74,3.74,3.95,221,134,134,124,0.96,15.2,38.8,40.4,5.6,0.04,399,315,59.2,40.8,23.5,9.9,17.0
198,591701,698,2023,11,0,9,1,0,1,9,5,0,11,2,32,148,8.0,0,1,0,0,0,0,8,39,24,11,0,0,86,0,2,0,1,13,2,0,0,0,8,0,5,5,2,0,0,1,6,57,17,23,17,5,1,2,4,4,0,3,4,LAG,,9.00,2.00,.340,18.50,10.12,5.62,1.80,1.12,23.1,12.8,10.3,8,1,5,9,.450,54.2,5.69,4.68,4.13,56,88,107,119,0.89,21.7,34.8,39.1,4.3,0.11,62,40,58.1,41.9,29.8,11.5,19.6
40,591701,692,2023,9,0,2,0,0,0,8,4,0,5,3,31,124,9.0,1,0,1,2,1,1,1,38,27,9,0,0,72,0,0,0,3,10,1,0,0,0,9,0,3,1,0,0,0,1,7,50,12,23,5,8,5,0,5,0,0,1,4,ZUL,,1.00,1.00,.160,13.78,8.00,4.00,2.00,0.00,21.1,10.5,10.6,9,5,1,8,.220,83.3,4.25,4.73,4.21,500,118,106,116,1.12,4.3,39.1,34.8,21.7,0.00,52,38,58.1,41.9,24.0,9.7,17.7
4,591701,,2023,20,0,11,1,0,1,17,9,0,16,5,63,272,17.0,1,1,1,2,1,1,9,77,51,20,0,0,158,0,2,0,4,23,3,0,0,0,17,0,8,6,2,0,0,2,13,107,29,46,22,13,6,2,9,4,0,4,8,2 Teams,2,4.76,1.47,.250,16.00,9.00,4.76,1.89,0.53,22.1,11.7,10.4,17,6,6,17,.330,66.4,4.93,4.70,4.16,105,101,106,118,1.00,13.0,37.0,37.0,13.0,0.06,114,78,58.1,41.9,27.1,10.7,18.8
121,592271,695,2023,7,6,17,2,2,1,13,7,0,30,2,98,421,23.2,1,1,0,0,0,0,14,109,71,7,0,0,272,0,5,0,0,0,0,0,0,2,23,2,7,5,2,0,1,4,16,208,34,87,24,20,3,4,30,5,0,9,16,CAR,,5.32,1.56,.310,17.79,4.94,2.66,1.86,0.38,11.9,6.4,5.5,46,3,13,25,.340,58.5,4.28,4.31,4.62,94,117,116,106,1.84,14.9,52.9,28.7,3.4,0.04,149,174,64.6,35.4,16.3,8.1,15.2
84,593163,697,2023,28,0,14,4,0,2,19,12,3,33,0,108,463,26.2,0,3,14,17,0,3,13,121,80,28,0,0,299,1,1,0,25,6,3,0,0,1,26,2,2,2,2,2,0,2,26,221,48,90,6,24,7,3,23,6,0,12,15,MAR,,4.39,1.69,.310,17.36,6.41,4.05,1.58,0.68,15.7,9.9,5.8,38,7,15,30,.350,73.5,4.59,4.23,4.79,114,109,118,102,1.27,16.7,42.2,33.3,7.8,0.07,164,173,64.6,35.4,21.7,10.4,16.8
230,593374,693,2023,6,0,3,1,0,0,3,3,0,5,1,18,71,4.2,0,0,0,0,0,0,3,22,14,6,0,0,41,0,0,0,1,4,2,0,0,0,4,2,3,3,0,0,0,1,8,34,6,15,4,2,5,0,3,1,0,2,2,LAR,,5.79,1.71,.280,15.21,5.79,5.79,1.00,0.00,13.6,13.6,0.0,5,5,2,3,.330,66.7,4.98,5.33,5.82,86,100,94,84,1.67,13.3,33.3,20.0,33.3,0.00,30,28,57.7,42.3,17.6,8.5,9.9
257,593468,699,2023,24,4,21,6,5,1,29,18,1,44,2,150,646,38.1,2,1,3,5,4,2,20,173,115,24,0,0,405,0,4,0,6,16,8,0,0,3,38,1,11,2,1,0,0,6,32,303,68,124,37,29,9,2,40,6,0,19,19,ARA,,4.70,1.62,.290,16.85,6.81,4.23,1.61,0.23,16.8,10.4,6.4,59,9,21,35,.350,68.7,4.08,4.24,4.59,106,123,118,107,1.69,16.9,47.6,28.2,7.3,0.03,241,235,62.7,37.3,22.4,10.5,15.8
52,594016,692,2023,20,0,14,4,1,3,17,16,1,17,6,84,388,23.0,1,3,0,1,2,1,14,107,69,20,0,0,235,0,6,0,6,15,7,0,1,0,23,0,6,3,1,0,0,0,13,177,42,68,10,20,11,4,16,5,0,6,6,ZUL,,5.48,1.43,.200,16.87,6.65,6.26,1.06,1.17,15.9,15.0,0.9,22,11,10,25,.220,71.8,6.78,5.67,5.60,91,74,88,88,0.88,14.7,32.4,36.8,16.2,0.12,153,135,60.6,39.4,23.7,10.8,14.9
145,594976,694,2023,9,9,21,9,0,4,26,18,0,45,2,146,631,36.2,2,2,0,0,0,0,21,169,110,9,0,0,402,0,4,0,0,0,0,0,0,3,36,2,8,3,1,0,0,5,27,286,73,123,27,28,7,6,37,5,0,22,18,ORI,,5.15,1.72,.310,17.21,6.38,4.42,1.44,0.98,15.4,10.7,4.7,55,7,28,33,.340,74.1,5.33,4.40,4.80,97,94,114,102,1.67,22.8,44.7,26.8,5.7,0.12,229,213,63.7,36.3,25.5,11.6,18.4
103,595798,695,2023,19,0,6,1,1,1,22,5,1,17,2,73,310,20.2,1,3,8,10,0,2,3,84,62,19,0,0,203,0,1,1,16,7,4,0,3,1,20,2,1,0,2,0,0,1,13,157,47,55,8,14,1,2,21,2,0,7,8,CAR,,1.31,1.06,.230,15.00,9.58,2.18,4.40,0.44,26.2,6.0,20.2,29,1,9,16,.310,79.6,3.21,3.00,2.84,382,156,167,173,1.81,16.4,52.7,29.1,1.8,0.06,107,110,65.5,34.5,29.9,15.2,14.8
80,596842,697,2023,7,7,19,6,2,2,10,3,0,47,4,147,451,35.0,2,5,0,0,0,0,16,155,105,7,0,0,324,0,0,0,0,0,0,0,0,1,35,0,3,1,6,1,2,3,31,238,28,138,8,37,1,7,46,9,1,19,18,MAR,,4.11,1.43,.320,12.89,2.57,0.77,3.33,0.51,6.5,1.9,4.6,64,2,26,46,.330,68.4,4.46,4.43,5.10,122,112,113,96,1.39,18.8,46.4,33.3,1.4,0.04,127,210,71.8,28.2,11.8,6.2,19.1
245,599998,699,2023,12,0,3,1,0,2,9,5,0,7,2,44,206,12.2,1,0,0,0,2,0,3,52,38,12,0,0,123,0,1,0,0,8,2,0,0,1,12,2,2,0,0,1,0,0,11,93,22,36,14,15,3,0,11,2,0,3,2,ARA,,2.13,0.95,.160,16.26,6.39,3.55,1.80,1.42,17.3,9.6,7.7,13,3,3,17,.150,98.2,5.98,4.66,4.74,235,84,107,103,0.76,8.3,36.1,47.2,8.3,0.12,83,71,59.7,40.3,23.7,10.7,14.6
27,600471,696,2023,4,0,5,0,0,0,6,5,1,6,1,21,92,5.1,0,0,0,0,0,0,5,28,16,4,0,0,54,0,1,0,1,1,0,0,1,0,5,1,6,2,1,0,0,0,6,41,9,16,2,3,0,0,7,1,0,2,3,MAG,,8.44,2.06,.290,17.25,10.12,8.44,1.20,0.00,21.4,17.9,3.5,10,0,2,4,.400,58.3,4.81,5.22,4.46,59,104,96,110,2.50,12.5,62.5,25.0,0.0,0.00,38,32,58.7,41.3,22.0,9.8,14.1
158,600526,694,2023,8,0,13,1,0,1,5,2,0,11,0,25,109,5.1,1,4,1,3,0,2,7,29,16,8,0,0,79,0,0,1,5,7,3,0,2,0,5,1,4,4,0,1,0,1,6,64,12,22,2,2,0,0,9,3,0,6,2,ORI,,11.81,2.44,.440,20.44,8.44,3.38,2.50,1.69,17.2,6.9,10.3,11,0,6,5,.530,0.0,5.38,3.45,3.85,42,93,145,127,2.20,27.3,50.0,22.7,0.0,0.20,30,52,72.5,27.5,18.8,11.0,13.8
17,600526,696,2023,15,0,9,4,0,3,21,1,0,17,0,58,214,14.2,2,1,0,0,1,0,9,59,44,15,0,0,158,0,1,0,1,12,5,0,0,0,14,2,2,2,0,0,0,0,7,117,40,37,18,10,0,1,9,6,0,5,6,MAG,,5.52,1.23,.290,14.59,12.89,0.61,21.00,1.84,35.6,1.7,33.9,15,0,6,16,.410,65.2,3.69,1.62,1.24,91,136,309,395,0.94,16.2,40.5,43.2,0.0,0.19,56,77,73.8,26.2,34.2,18.7,19.2
5,600526,,2023,23,0,22,5,0,4,26,3,0,28,0,83,323,20.0,3,5,1,3,1,2,16,88,60,23,0,0,237,0,1,1,6,19,8,0,2,0,20,0,6,6,0,1,0,1,13,181,52,59,20,12,0,1,18,9,0,11,8,2 Teams,2,7.20,1.55,.340,16.15,11.70,1.35,8.67,1.80,29.5,3.4,26.1,26,0,12,21,.450,35.4,4.14,2.11,2.22,69,121,237,221,1.24,20.3,44.1,35.6,0.0,0.19,86,129,73.4,26.6,28.7,16.1,17.3
112,600965,695,2023,9,0,3,1,0,1,7,3,0,13,0,36,153,7.2,1,1,0,1,3,1,3,39,23,9,0,0,94,0,0,0,2,0,0,0,0,0,7,2,4,0,0,0,0,0,9,74,23,29,4,8,3,0,5,1,0,3,9,CAR,,3.52,2.09,.360,19.96,8.22,3.52,2.33,1.17,17.9,7.7,10.2,14,3,3,9,.430,89.0,4.73,3.68,4.18,142,106,136,117,1.56,10.3,48.3,31.0,10.3,0.11,59,51,61.4,38.6,31.1,15.0,13.1
93,605636,697,2023,12,0,15,8,0,0,11,10,0,15,2,59,276,15.0,0,0,0,0,0,0,15,71,45,12,0,0,163,0,0,0,1,0,0,0,0,0,15,0,14,9,1,1,0,1,6,121,24,48,5,16,6,1,10,7,0,5,3,MAR,,9.00,1.67,.250,18.40,6.60,6.00,1.10,0.00,15.5,14.1,1.4,13,6,6,23,.310,44.4,4.62,5.46,5.88,56,108,92,83,0.57,12.5,27.1,47.9,12.5,0.00,113,97,59.1,40.9,19.8,8.7,15.2
85,605652,697,2023,11,6,18,10,2,1,19,10,0,43,3,129,492,34.1,1,1,0,0,1,0,18,146,103,11,0,0,316,0,0,2,0,1,0,0,1,3,34,1,3,1,2,3,0,5,24,219,44,114,16,37,3,2,29,11,0,17,15,MAR,,4.72,1.54,.330,14.33,4.98,2.62,1.90,0.26,13.0,6.8,6.2,44,3,19,48,.380,69.6,4.10,4.48,4.91,106,122,112,100,0.92,16.7,38.6,42.1,2.6,0.02,176,175,64.2,35.8,20.1,8.9,19.7
219,605891,693,2023,13,0,4,0,0,2,13,0,0,10,2,36,139,10.0,0,0,0,0,1,0,4,39,30,13,0,0,94,0,0,0,3,13,0,0,1,0,10,0,3,0,0,0,0,1,8,66,17,24,2,6,0,0,8,1,0,4,5,LAR,,3.60,1.00,.280,13.90,11.70,0.00,inf,1.80,33.3,0.0,33.3,13,0,4,7,.380,87.0,4.29,2.07,1.41,139,117,242,348,1.86,16.7,54.2,29.2,0.0,0.29,45,49,67.6,32.4,25.8,12.2,20.1
97,606135,697,2023,7,0,11,2,0,3,2,0,0,12,0,26,74,5.0,1,1,0,1,1,1,11,27,15,7,0,0,47,0,0,0,3,6,5,0,0,1,5,0,1,1,0,0,0,0,3,37,4,25,8,7,0,2,4,6,0,4,2,MAR,,19.80,2.40,.460,14.80,3.60,0.00,inf,5.40,7.4,0.0,7.4,6,0,6,13,.410,12.8,10.69,4.30,5.66,25,47,116,87,0.46,24.0,24.0,52.0,0.0,0.23,27,33,63.5,36.5,10.8,5.4,13.5
123,606140,695,2023,11,6,19,8,1,1,14,4,0,36,4,107,396,25.1,2,2,0,0,0,0,18,116,76,11,0,0,263,0,1,0,0,1,0,0,1,0,25,1,13,9,1,0,0,4,22,196,32,94,20,10,4,3,41,7,0,15,14,CAR,,6.39,1.58,.340,15.63,4.97,1.42,3.50,0.36,12.1,3.4,8.7,55,4,18,17,.380,58.7,4.05,3.90,3.79,78,123,128,129,3.24,19.1,58.5,18.1,4.3,0.06,133,164,66.4,33.6,16.3,8.1,16.9
247,606190,699,2023,27,0,13,6,0,2,23,7,0,25,1,119,454,32.2,3,2,5,9,2,4,8,129,98,27,0,0,315,0,1,0,9,11,2,0,2,0,32,2,3,1,0,0,0,3,14,236,42,98,21,20,5,7,41,2,0,16,7,ARA,,2.20,0.98,.210,13.90,6.34,1.93,3.29,0.55,17.8,5.4,12.4,48,5,23,22,.240,66.2,3.81,3.38,3.75,227,131,148,131,2.18,23.5,49.0,22.4,5.1,0.09,139,194,69.4,30.6,17.8,9.3,17.4
235,606208,693,2023,2,2,5,3,0,0,3,5,1,9,0,22,103,4.1,0,2,0,0,0,0,4,27,13,2,0,0,67,0,0,0,0,0,0,0,0,0,4,1,2,1,0,0,0,0,9,49,9,19,0,4,2,1,3,1,0,6,2,LAR,,8.31,3.23,.410,23.77,6.23,10.38,0.60,0.00,11.1,18.5,-7.4,5,2,7,5,.470,64.3,5.77,6.39,6.63,60,87,78,74,1.00,36.8,26.3,26.3,10.5,0.00,36,40,65.0,35.0,18.4,8.7,17.5
88,608476,697,2023,11,0,7,5,0,0,11,8,0,9,0,39,206,11.0,1,0,0,1,4,1,7,49,33,11,0,0,118,0,2,0,1,7,1,0,0,2,11,0,6,1,0,0,0,1,8,86,26,30,13,11,2,2,6,3,0,2,4,MAR,,5.73,1.55,.230,18.73,9.00,6.55,1.38,0.00,22.4,16.3,6.1,10,2,4,14,.300,58.8,3.87,4.56,4.74,87,129,110,103,0.71,13.3,33.3,46.7,6.7,0.00,88,60,57.3,42.7,30.2,12.6,15.5
41,611093,692,2023,22,0,5,1,1,2,20,4,3,17,0,83,331,23.1,2,2,7,7,0,0,3,89,70,22,0,0,223,0,0,0,21,7,2,0,2,0,23,1,0,0,2,0,0,3,10,166,38,65,10,17,13,0,18,7,0,5,5,ZUL,,1.16,0.90,.200,14.19,7.71,1.54,5.00,0.77,22.5,4.5,18.0,23,13,5,24,.250,87.9,3.60,3.05,3.36,431,139,164,146,0.96,7.7,35.4,36.9,20.0,0.08,108,128,67.4,32.6,22.9,11.5,17.2
101,612792,697,2023,2,1,8,3,0,2,1,1,0,9,1,17,59,2.2,0,1,0,0,0,0,8,19,8,2,0,0,35,0,2,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,4,31,5,16,1,2,0,1,4,2,0,3,4,MAR,,27.00,3.75,.530,22.12,3.38,3.38,1.00,6.75,5.3,5.3,0.0,8,0,4,4,.500,36.6,14.94,6.01,5.24,19,33,83,94,2.00,25.0,50.0,25.0,0.0,0.50,24,26,59.3,40.7,16.1,8.5,6.8
15,612797,696,2023,10,8,22,7,0,2,30,9,0,42,1,139,524,33.2,0,3,0,0,0,0,19,150,101,10,0,0,354,0,2,0,0,0,0,0,1,0,33,2,6,2,0,1,0,4,29,242,46,110,27,23,6,4,35,5,0,27,10,MAG,,5.08,1.51,.300,15.56,8.02,2.41,3.33,0.53,20.0,6.0,14.0,45,6,31,28,.370,61.0,3.57,3.25,3.69,98,140,154,133,1.61,28.2,40.9,25.5,5.5,0.07,170,196,67.6,32.4,19.0,8.8,21.4
18,614179,696,2023,16,0,12,2,0,2,20,6,1,19,4,72,295,19.1,1,0,0,2,1,2,12,85,58,16,0,0,197,0,0,0,1,10,3,0,2,1,19,1,5,2,0,0,0,3,20,147,54,55,8,6,2,1,27,3,1,7,8,MAG,,5.59,1.29,.260,15.26,9.31,2.79,3.33,0.93,23.5,7.1,16.4,35,3,8,9,.330,64.9,4.52,3.43,2.93,89,111,146,167,3.89,14.5,63.6,16.4,5.5,0.22,98,93,66.8,33.2,36.7,18.3,16.9
116,620445,695,2023,23,0,10,3,1,3,20,4,0,25,1,92,381,22.1,0,1,3,6,8,3,10,97,67,23,0,0,262,0,1,0,8,2,0,0,0,0,22,1,1,0,2,0,0,1,11,200,40,72,8,20,3,2,22,6,0,11,8,CAR,,4.03,1.30,.270,17.06,8.06,1.61,5.00,1.21,20.6,4.1,16.5,30,3,13,26,.320,77.5,4.32,3.20,3.44,124,116,156,142,1.15,18.1,41.7,36.1,4.2,0.12,119,160,68.8,31.2,20.0,10.5,16.3
4,620454,696,2023,22,0,8,6,2,0,25,9,0,16,0,82,354,23.2,0,1,0,0,2,0,6,95,71,22,0,0,243,0,2,1,1,20,5,0,2,2,23,2,9,2,1,1,0,1,7,186,48,61,6,11,3,2,29,3,0,5,8,MAG,,2.28,1.06,.200,14.96,9.51,3.42,2.78,0.00,26.3,9.5,16.8,37,3,7,14,.270,68.0,2.72,3.04,3.06,219,184,164,160,2.64,11.5,60.7,23.0,4.9,0.00,111,138,68.6,31.4,25.8,13.6,16.1
153,620978,694,2023,25,2,19,3,0,5,22,9,1,27,1,91,370,21.2,1,2,1,2,2,1,18,103,65,25,0,0,224,0,2,0,4,25,12,0,2,0,21,2,14,7,2,0,0,0,16,170,42,71,15,8,3,2,31,5,0,11,11,ORI,,7.48,1.66,.300,17.08,9.14,3.74,2.44,2.08,21.4,8.7,12.7,42,3,13,13,.340,60.0,6.04,3.37,3.40,67,83,148,144,3.23,18.3,59.2,18.3,4.2,0.38,146,128,60.5,39.5,24.7,11.4,14.6
178,620982,698,2023,10,8,23,11,0,2,33,16,0,51,3,175,676,45.0,1,2,1,1,0,0,20,195,135,10,0,0,425,1,2,0,1,0,0,0,0,1,45,0,5,2,2,1,1,11,38,304,63,143,21,27,5,4,56,8,0,22,21,LAG,,4.00,1.49,.290,15.02,6.60,3.20,2.06,0.40,16.9,8.2,8.7,77,5,26,35,.350,69.9,4.07,3.91,4.08,125,123,128,120,2.20,18.2,53.8,24.5,3.5,0.06,251,241,62.9,37.1,20.7,9.3,17.9
35,620984,696,2023,1,0,2,0,0,2,0,0,0,2,0,3,15,0.1,0,0,0,0,0,0,2,3,1,1,0,0,10,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,9,3,3,2,0,1,0,0,2,0,0,0,MAG,,54.00,6.00,.670,45.00,0.00,0.00,nan,54.00,0.0,0.0,0.0,0,1,0,2,.000,-0.0,81.69,6.95,14.67,9,6,72,33,0.00,0.0,0.0,66.7,33.3,1.00,5,6,66.7,33.3,33.3,20.0,6.7
53,620986,692,2023,15,0,10,2,0,0,10,12,1,18,0,56,266,14.2,0,2,0,0,1,0,9,71,44,15,0,0,159,0,2,0,2,11,3,0,0,3,14,2,12,5,2,0,0,2,13,116,21,49,5,12,3,1,15,4,0,6,8,ZUL,,5.52,2.05,.320,18.14,6.14,7.36,0.83,0.00,14.1,16.9,-2.8,23,3,7,16,.370,66.7,4.78,5.37,5.74,91,105,93,85,1.44,14.3,46.9,32.7,6.1,0.00,107,95,59.8,40.2,18.1,7.9,16.2
83,621089,697,2023,24,0,12,1,0,1,7,9,0,22,0,85,345,22.2,2,0,0,0,8,0,11,96,68,24,0,0,207,0,0,0,5,10,1,0,0,2,22,2,9,3,0,0,0,2,23,156,18,80,13,29,7,4,18,2,0,11,9,MAR,,4.37,1.37,.260,15.22,2.78,3.57,0.78,0.40,7.3,9.4,-2.1,27,7,15,31,.270,64.2,4.84,5.01,6.29,114,103,100,78,0.87,18.8,33.8,38.8,8.8,0.03,138,138,60.0,40.0,11.5,5.2,14.8
118,621591,695,2023,24,0,12,8,1,2,18,4,0,28,1,86,338,21.0,4,1,0,1,5,1,10,93,63,24,0,0,237,0,2,0,1,12,5,0,0,2,21,0,11,4,0,0,0,3,13,162,29,70,14,19,3,2,18,5,0,14,9,CAR,,4.29,1.52,.330,16.10,7.71,1.71,4.50,0.86,19.4,4.3,15.1,27,3,16,24,.380,69.5,3.93,3.31,3.64,117,127,151,135,1.12,22.9,38.6,34.3,4.3,0.08,101,133,70.1,29.9,17.9,8.6,22.2
42,621592,692,2023,21,0,7,2,0,0,10,14,0,16,2,73,317,21.0,1,0,0,1,2,1,6,90,63,21,0,0,181,0,1,0,6,19,7,0,0,1,21,0,5,2,5,1,0,3,15,135,25,64,15,20,5,6,17,0,0,7,9,ZUL,,2.57,1.43,.220,15.10,4.29,6.00,0.71,0.00,11.1,15.6,-4.5,26,5,13,20,.250,78.1,5.02,5.54,6.11,195,100,90,80,1.30,20.3,40.6,31.2,7.8,0.00,136,110,57.1,42.9,18.5,7.9,14.5
203,621593,698,2023,7,0,9,4,1,1,1,6,0,9,2,20,107,4.1,0,0,0,1,0,1,7,29,13,7,0,0,57,0,3,0,2,4,1,0,0,1,4,1,9,2,1,1,0,1,7,38,2,20,1,2,1,0,8,5,0,4,0,LAG,,14.54,3.46,.450,24.69,2.08,12.46,0.17,2.08,3.4,20.7,-17.3,8,1,4,7,.420,51.3,11.77,9.65,7.93,34,42,52,62,1.14,20.0,40.0,35.0,5.0,0.14,50,36,53.3,46.7,5.3,1.9,17.8
128,621593,695,2023,6,0,5,0,0,1,4,4,0,6,1,18,88,4.2,0,0,0,0,3,0,5,24,14,6,0,0,50,0,1,0,0,0,0,0,1,0,4,2,5,3,0,0,0,0,2,41,14,15,2,1,0,0,8,0,1,1,4,CAR,,9.64,2.14,.330,18.86,7.71,7.71,1.00,1.93,16.7,16.7,0.0,12,1,1,1,.380,62.5,7.98,5.31,3.84,52,63,94,128,12.00,6.7,80.0,6.7,6.7,1.00,38,27,56.8,43.2,34.1,15.9,10.2
6,621593,,2023,13,0,14,4,1,2,5,10,0,15,3,38,195,9.0,0,0,0,1,3,1,12,53,27,13,0,0,107,0,4,0,2,4,1,0,1,1,9,0,14,5,1,1,0,1,9,79,16,35,3,3,1,0,16,5,1,5,4,2 Teams,2,12.00,2.78,.390,21.67,5.00,10.00,0.50,2.00,9.4,18.9,-9.5,20,2,5,8,.410,55.6,9.80,7.40,6.18,42,51,68,79,2.50,14.3,57.1,22.9,5.7,0.25,88,63,54.9,45.1,20.3,8.2,14.4
55,621594,692,2023,5,4,8,2,1,1,4,5,0,15,1,50,222,12.2,0,1,0,0,1,0,8,56,38,5,0,0,125,0,1,1,0,0,0,0,0,0,12,2,5,1,2,1,0,2,14,83,9,46,6,13,5,1,12,4,0,4,7,ZUL,,5.68,1.58,.300,17.53,2.84,3.55,0.80,0.71,7.1,8.9,-1.8,19,5,5,17,.310,66.3,5.51,5.21,6.10,88,91,96,80,1.12,10.9,41.3,37.0,10.9,0.06,97,74,56.3,43.7,10.8,4.1,18.9
187,621594,698,2023,7,2,9,5,1,0,6,7,0,19,0,57,256,13.2,1,0,0,0,1,0,8,64,41,7,0,0,142,0,1,0,0,4,4,0,0,0,13,2,2,1,0,0,0,4,12,94,16,51,14,12,5,1,14,3,0,11,5,LAG,,5.27,1.90,.330,18.73,3.95,4.61,0.86,0.00,9.4,10.9,-1.5,19,5,12,15,.370,65.4,4.35,4.95,5.90,95,115,101,83,1.27,23.5,37.3,29.4,9.8,0.00,114,78,55.5,44.5,17.0,6.2,18.8
7,621594,,2023,12,6,17,7,2,1,10,12,0,34,1,107,478,26.1,1,1,0,0,2,0,16,120,79,12,0,0,267,0,2,1,0,4,4,0,0,0,26,1,7,2,2,1,0,6,26,177,25,97,20,25,10,2,26,7,0,15,12,2 Teams,2,5.47,1.75,.320,18.15,3.42,4.10,0.83,0.34,8.3,10.0,-1.7,38,10,17,32,.340,65.8,4.91,5.07,5.98,91,102,99,82,1.19,17.5,39.2,33.0,10.3,0.03,211,152,55.9,44.1,14.1,5.2,18.8
171,622161,698,2023,20,0,7,5,0,1,18,9,3,17,0,76,364,21.1,2,1,0,3,1,3,6,87,64,20,0,0,232,3,0,0,4,15,11,0,1,1,21,1,1,1,1,1,0,1,12,162,30,60,13,22,4,2,15,3,0,11,3,LAG,,2.53,1.22,.220,17.06,7.59,3.80,2.00,0.42,20.7,10.3,10.4,18,4,13,25,.280,77.2,3.88,3.91,4.29,198,129,128,114,0.72,21.7,30.0,41.7,6.7,0.04,132,132,63.7,36.3,18.5,8.2,19.2
62,622344,692,2023,2,0,1,0,0,1,0,3,0,1,0,5,33,1.1,0,0,0,1,0,1,1,8,4,2,0,0,17,0,0,0,0,3,3,0,0,0,1,1,3,0,0,0,0,0,1,11,0,5,0,2,0,0,2,1,0,0,0,ZUL,,6.75,3.00,.200,24.75,0.00,20.25,0.00,6.75,0.0,37.5,-37.5,2,0,0,3,.000,115.4,20.19,11.66,11.01,74,25,43,45,0.67,0.0,40.0,60.0,0.0,0.33,16,11,51.5,48.5,0.0,0.0,18.2
3,622415,696,2023,30,0,7,5,1,0,28,12,1,20,3,112,508,32.1,5,2,9,9,1,0,4,129,97,30,0,0,325,0,2,0,28,11,3,0,1,1,32,1,0,0,1,0,0,3,19,247,67,86,8,21,3,7,35,1,0,11,8,MAG,,1.11,0.99,.180,15.71,7.79,3.34,2.33,0.00,21.7,9.3,12.4,43,3,18,22,.240,80.0,3.35,3.72,3.73,450,149,134,131,1.95,20.9,50.0,25.6,3.5,0.00,183,180,64.0,36.0,27.1,13.2,15.4
143,622693,694,2023,5,5,15,2,2,4,8,6,0,21,3,69,287,17.1,0,3,0,0,0,0,9,79,52,5,0,0,176,0,2,0,0,0,0,0,0,1,17,1,3,2,1,0,0,6,21,126,26,62,11,13,5,4,19,6,0,10,5,ORI,,4.67,1.56,.300,16.56,4.15,3.12,1.33,2.08,10.1,7.6,2.5,24,5,14,19,.290,61.5,7.32,4.92,5.37,107,68,102,91,1.26,22.6,38.7,30.6,8.1,0.21,111,100,61.3,38.7,20.6,9.1,17.4
200,622694,698,2023,4,4,13,4,1,4,10,8,0,17,0,50,245,11.2,0,1,0,0,0,0,13,58,35,4,0,0,149,0,1,0,0,0,0,0,0,0,11,2,5,3,0,0,0,1,7,109,30,40,12,9,2,2,10,6,0,6,5,LAG,,10.03,2.14,.340,21.00,7.71,6.17,1.25,3.09,17.2,13.8,3.4,15,2,8,15,.360,61.9,8.49,4.73,5.06,50,59,106,97,1.00,20.0,37.5,37.5,5.0,0.27,96,79,60.8,39.2,27.5,12.2,16.3
5,622786,696,2023,16,0,5,2,0,0,12,4,0,17,3,57,228,14.1,2,1,0,2,2,2,4,66,43,16,0,0,144,0,0,0,1,14,3,0,1,1,14,1,7,2,0,1,0,1,16,101,20,47,9,5,4,1,20,2,0,5,10,MAG,,2.51,1.47,.300,15.91,7.53,2.51,3.00,0.00,18.2,6.1,12.1,30,4,6,7,.370,79.2,3.48,3.75,3.36,199,144,133,146,4.29,12.8,63.8,14.9,8.5,0.00,84,81,63.2,36.8,19.8,8.8,18.9
