index,player.id,team.id,Season,GP,GS,R,2B,3B,HR,SO,BB,IBB,H,HBP,AB,Pitches,IP,W,L,SV,SVo,HLD,BS,ER,BF,Outs,G,CG,SHO,Strikes,BK,WP,PK,GF,IR,IR-A,CI,SH,SF,stat.inningsPitched_1,stat.inningsPitched_2,BQR,BQR-S,SB,CS,QS,GIDP,GIDPo,Swings,Whiffs,BIP,RS,FO,PO,LO,GO,FH,PH,LH,GH,Team,count,ERA,WHIP,AVG,P/IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB,PU,LD,FB,BABIP,LOB%,FIP,xFIP,SIERA,ERA+,FIP+,xFIP+,SIERA+,GB/FB,LD%,GB%,FB%,PU%,HR/FB,Balls,Contacts,Strike%,Ball%,Whiff%,SwStr%,CStr%
51,666661,692.0,2024,1,0,3,0,0,1,1,2,0,1,0,2,19,0.1,0,0,0,0,0,0,3,4,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,1,0,0,0,ZUL,,81.00,9.00,.500,57.00,27.00,54.00,0.50,27.00,25.0,50.0,-25.0,0,0,0,1,nan,0.0,54.30,15.49,8.99,5,8,27,49,0.00,0.0,0.0,100.0,0.0,1.00,13,3,31.6,68.4,0.0,0.0,15.8
77,666721,693.0,2024,1,1,0,1,0,0,2,0,0,5,0,18,57,5.0,1,0,0,0,0,0,0,18,15,1,0,0,44,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,2,4,33,6,16,2,2,2,1,6,0,0,3,2,LAR,,0.00,1.00,.280,11.40,3.60,0.00,inf,0.00,11.1,0.0,11.1,8,2,4,2,.310,100.0,2.50,2.53,3.86,42600,166,164,113,4.00,25.0,50.0,12.5,12.5,0.00,13,27,77.2,22.8,18.2,10.5,19.3
0,667686,696.0,2024,1,0,0,0,0,0,1,1,0,1,0,5,27,1.1,0,0,0,0,0,0,0,6,4,1,0,0,13,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,13,6,4,0,1,1,0,1,0,0,0,1,MAG,,0.00,1.50,.200,20.25,6.75,6.75,1.00,0.00,16.7,16.7,0.0,2,1,0,1,.250,100.0,4.05,4.10,5.43,42600,103,101,81,2.00,0.0,50.0,25.0,25.0,0.00,14,7,48.1,51.9,46.2,22.2,0.0
54,668761,695.0,2024,1,0,0,0,0,0,0,0,0,0,0,3,12,1.0,0,0,0,0,0,0,0,3,3,1,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1,3,2,3,0,0,0,0,0,0,0,CAR,,0.00,0.00,.000,12.00,0.00,0.00,nan,0.00,0.0,0.0,0.0,0,0,0,3,.000,nan,3.30,3.49,14.67,42600,126,119,30,0.00,0.0,0.0,100.0,0.0,0.00,3,7,75.0,25.0,12.5,8.3,8.3
20,671781,699.0,2024,1,0,1,0,0,1,0,0,0,1,1,4,11,1.1,0,0,0,0,0,0,1,5,4,1,0,0,8,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,1,1,8,2,4,0,2,0,0,1,1,0,0,0,ARA,,6.75,0.75,.250,8.25,0.00,0.00,nan,6.75,0.0,0.0,0.0,1,0,0,3,.000,166.7,15.30,5.69,7.95,62,27,73,55,0.33,0.0,25.0,75.0,0.0,0.33,3,6,72.7,27.3,25.0,18.2,0.0
18,673455,699.0,2024,1,1,1,1,0,0,3,1,0,3,0,17,64,4.2,0,0,0,0,0,0,1,18,14,1,0,0,40,0,0,0,0,0,0,0,0,0,4,2,1,1,0,0,0,0,4,27,7,14,5,6,1,0,4,0,0,1,2,ARA,,1.93,0.86,.180,13.71,5.79,1.93,3.00,0.00,16.7,5.6,11.1,6,1,1,6,.210,75.0,2.66,2.74,4.21,216,156,152,104,1.00,7.1,42.9,42.9,7.1,0.00,24,20,62.5,37.5,25.9,10.9,20.3
37,673603,698.0,2024,1,1,5,2,0,2,1,2,1,5,0,12,49,2.2,0,1,0,0,0,0,5,15,8,1,0,0,35,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,2,25,2,12,0,4,0,1,2,2,0,2,1,LAG,,16.88,2.62,.420,18.38,3.38,6.75,0.50,6.75,6.7,13.3,-6.6,3,0,3,6,.300,47.6,14.55,4.94,7.21,25,29,84,61,0.50,25.0,25.0,50.0,0.0,0.33,14,23,71.4,28.6,8.0,4.1,20.4
73,673648,694.0,2024,1,1,5,2,0,1,2,0,0,8,0,17,68,2.2,0,1,0,0,0,0,3,17,8,1,0,0,49,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,6,42,5,15,0,1,4,0,2,1,1,5,1,ORI,,10.12,3.00,.470,25.50,6.75,0.00,inf,3.38,11.8,0.0,11.8,3,5,5,2,.500,45.5,6.68,1.85,4.78,41,62,225,92,1.50,33.3,20.0,13.3,33.3,0.50,19,37,72.1,27.9,11.9,7.4,10.3
66,674289,694.0,2024,1,0,2,0,0,0,0,1,0,2,0,4,23,0.2,0,0,0,0,0,0,0,6,2,1,0,0,12,1,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,2,9,2,5,0,1,0,0,2,0,0,1,1,ORI,,0.00,4.50,.500,34.50,0.00,13.50,0.00,0.00,0.0,16.7,-16.7,3,0,1,1,.400,33.3,7.80,7.90,6.40,42600,53,53,68,3.00,20.0,60.0,20.0,0.0,0.00,11,7,52.2,47.8,22.2,8.7,13.0
25,675842,698.0,2024,2,0,1,0,0,0,1,3,1,2,0,5,26,1.0,0,1,0,0,1,0,0,8,3,2,0,0,11,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,4,7,1,4,0,2,0,0,0,0,0,1,1,LAG,,0.00,5.00,.400,26.00,9.00,27.00,0.33,0.00,12.5,37.5,-25.0,1,0,1,2,.500,80.0,10.30,10.43,8.85,42600,40,40,49,0.50,25.0,25.0,50.0,0.0,0.00,15,6,42.3,57.7,14.3,3.8,15.4
90,677743,697.0,2024,1,0,0,0,0,0,0,0,0,0,0,3,7,1.0,0,0,0,0,0,0,0,3,3,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,2,0,0,0,0,MAR,,0.00,0.00,.000,7.00,0.00,0.00,nan,0.00,0.0,0.0,0.0,2,0,0,1,.000,nan,3.30,3.36,4.79,42600,126,124,91,2.00,0.0,66.7,33.3,0.0,0.00,3,3,57.1,42.9,0.0,0.0,14.3
